Human_answers,processed_AI_sentenc,Segment,Tone,WPS,Dic,ppron,i,we,you,shehe,they,article,prep,adverb,negate,verb,adj,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,focuspast,focuspresent,focusfuture,informal,swear,netspeak,assent,nonflu,filler
see rubygem issu,resolv authent user issu instal stripe gem ensur devi gem updat compat stripe verifi conflict exist gemfil run bundl instal problem persist review rout control disrupt caus new gem,1,,3,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0
see list trust domain sudo nextcloud occ config system trust domain foo com bar com remov one index list exampl remov sudo nextcloud occ config system delet trust domain disabl http use sudo try get cert new domain run issu blow away old certbot data try thank quick respons mate done everyth said except certbot thing go websit try login nextcloud android app url match hostnam certif disabl remov certif remov certif remov certbot rm f certbot whole folder disabl http stop use cert even though still disk although sinc use hst bit issu sinc browser cach fact http try visit firefox privat mode e open privat window must remov cert yeah blow away remov certbot solv mate thank alot get error everi command mani time error ld object usr lib arm linux gnueabihf libarmmem etc ld preload cannot preload cannot open share object file ignor normal must use box judg bug report seen yeah normal sure deal imag involv make seen harmless glad sort go ahead close,remov old http certif let u encrypt domain trust domain nextcloud access nextcloud configur file remov domain entri use certbot revok old certif request new one updat dn set,1,95.81,168,32.74,0,0,0,0,0,0,0,2.38,1.79,1.19,16.67,2.38,5.36,4.76,0,0,0,0,5.36,0,1.19,0,0,11.9,0,2.98,1.19,3.57,2.38,2.98,2.38,14.88,0.6,1.79,0,0.6,1.19,0,0
thank submit pleas chang back map concurrenthashmap merg,initi transport demand modifi system dynam creat start transport instanc requir approach optim resourc usag improv effici avoid unnecessari initi,1,99,8,37.5,0,0,0,0,0,0,0,0,12.5,0,25,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0
add new issu still interest sorri inconveni,resolv tl server certif issu stunnel servic entwar tomato instal valid tl certif configur stunnel configur file refer certif path ensur secur commun,1,99,7,57.14,0,0,0,0,0,0,0,0,14.29,0,0,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0
look github markdown interpret got code see insert script hi david look scanner tri deliv xss header odd pretti sure possibl convinc someon els browser send bogu header necessari want hit reflect xss confus secur scanner even tri sinc viabl attack vector said probabl sanit valu display anyway cleanli sake leav bug open fwiw gener secur report probabl go securityso real bug patch made public hi apolog disclos littl respons occur post thank great work project,address xss vulner flag qid 86175 ensur user input output properli sanit escap implement addit secur measur content secur polici csp regularli updat sandstorm latest version take advantag latest secur fix,1,99,76,44.74,0,0,0,0,0,0,0,0,5.26,0,15.79,1.32,9.21,7.89,1.32,0,1.32,0,9.21,0,0,0,0,15.79,5.26,1.32,2.63,3.95,2.63,0,3.95,11.84,0,1.32,0,0,0,0,1.32
"",_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
post plunker reproduct far code sampl show never set error actual problem work well f g work overrid error cours afraid still follow problem implement valid set error form group contain start date end date control other fine invalid form materi error show actual control invalid overrid default logic show configur respond form group valid error even ignor whether either control touch need abl reproduc issu feel free open new issu abl provid reproduct via stackblitz issu automat lock due inact pleas file new issu encount similar relat problem read automat convers lock action perform automat bot,resolv valid issu md datepick ensur valid logic trigger datepick button click input field lose focu event updat reactiv form listen chang valid accordingli make error messag disappear correct made,1,12.19,97,37.11,0,0,0,0,0,0,0,1.03,4.12,1.03,6.19,8.25,7.22,3.09,4.12,1.03,0,0,6.19,0,2.06,0,0,13.4,2.06,3.09,4.12,0,1.03,3.09,0,7.22,0,1.03,0,0,0,1.03,0
chang result invalid token user save pleas revert chang v work find pleas open new issu step reproduc problem see problem perhap relat experienc issu call user save remov current access token even chang user email password common model user js var isfullreplacechangingpassword ctx instanc ctx instanc alway true user save see pleas open new github issu problem move discuss mention handl email notif,invalid exist session user password chang implement function delet activ access token upon password updat ensur previou session becom invalid requir reauthent,1,55.21,64,39.06,0,0,0,0,0,0,0,0,1.56,0,14.06,6.25,10.94,6.25,4.69,0,0,0,7.81,0,0,0,0,9.38,1.56,1.56,4.69,0,1.56,0,0,17.19,0,0,0,0,0,0,0
notic changelog pki backend non leas default result behavior,resolv miss lea durat issu certif use pki backend ensur role configur includ lea set verifi configur document adjust role set includ lea paramet,1,,9,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
trust domain error xx xx x tri access use x x x host pleas fix trust domain config php try connect ip trust domain try clear browser cooki case thank suggest howev error relat last log entri abl make upgrad notic owncloud work fine figur error howev upgrad php seem break owncloud fortun patch made work futur refer thread automat lock sinc recent activ close pleas open new issu relat bug,resolv login issu upgrad owncloud check server log trust domain error updat trust domain configur config php includ relev ip address domain name ensur conflict exist contact app clear browser cach,1,99,71,29.58,0,0,0,0,0,0,0,0,0,0,11.27,5.63,7.04,7.04,0,0,0,0,5.63,0,0,0,0,12.68,4.23,4.23,0,4.23,1.41,0,1.41,16.9,1.41,0,0,0,0,0,0
noth user must report report think report bitdefend enough softwar flag bitdefend engin newer version report safe easiest solut upgrad older version suggest everyon get googl goe vote safe,address fals posit detect dnscrypt proxi simplednscrypt 0 5 2 submit binari antiviru vendor reanalysi whitelist consid also download safe version directli offici github releas page ensur user trust,1,99,29,37.93,0,0,0,0,0,0,0,0,0,0,10.34,17.24,10.34,10.34,0,0,0,0,3.45,0,0,0,0,13.79,3.45,0,3.45,0,3.45,6.9,0,6.9,0,0,0,0,0,0,0
verifi oidc cli secret docker login docker pull push close issu problem track bug,,1,1,14,28.57,0,0,0,0,0,0,0,0,0,0,14.29,7.14,7.14,0,7.14,0,0,0,7.14,0,0,0,0,14.29,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0
aiui window download root certif microsoft fly better trigger automat rather overrid everyth feel great idea piec softwar built help encrypt world ignor problem said encrypt prefer instal let encrypt root intermedi certif known good locat though figur yet one window ssl librari access page right ca suggest seem otoh view certif doubl click crt file seem thing long machin access window updat guess window still extend support machin fetch window updat make problem root certif window store default microsoft one valid microsoft server wu machin access wu download certif go trust site use download certif go much run anoth server launch httpwebrequest alreadi trick possibl api call acmesharp effect alreadi endpoint use certif test url understand howev know least two httpwebrequest interfac user server variant version acmesharp use use openssl librari option use certif store even use window one call correctli obscur plu side microsoft add nice trace window vista later ssl complet agre approach bit controversi especi natur program howev sinc set affect program commun fix endpoint thing possibl seen secur risk system victim dns hijack set default need awar yes see point system run wu fine seem want updat root cert short run system question okay found window machin dst root certif present machin valid server certif well form accept window problem seem cross sign isrg root certif store window seem abl correctli chase altern chain certif load intermedi store msie becom happi websit certif presum get forc altern chain dst root know aiui lew access intermedi certif abl load comput intermedi store automat hmmz instal cert per intermedi ca still luck dig tomorrow made chang instal intermedi certif upon success valid turn two gener pfx perhap need two initi contact ohh even far program cs line woah sound get error attempt connect api problem let encrypt ca bootstap problem specif certif subject cn api letsencrypt org internet secur research group l mountain view st california c us subject c us identrust ou trustid server cn trustid server ca subject c us identrust cn identrust commerci root ca ca chain think need find actual problem full debug log lew help probabl follow window log realli happen woah sound get error attempt connect api know instead plow mile mile microsoft document took minut add set sinc trust let encrypt ca know victim dns hijack thought share solut other suffer issu fulli understand hesit accept pull request certain without lot check think break verif api ssl certif mitm attack allow abl assign valid complet differ account key allow attack le sign public key instead think done silent matter much look network problem hope check certif transpar log case otoh dns hijack abl prevent complet valid perhap help want config look promis unfortun make differ end make fresh window instal everyth work flawlessli thank suggest anyway problem,ignor ssl certif valid add set bypass valid system recogn ca use letsencrypt allow older window version work without certif error,1,49.7,467,35.97,0.64,0,0.64,0,0,0,0,0.43,2.57,0.21,13.92,2.14,7.71,4.5,3.21,0.21,0.64,0.21,4.28,0,0.21,0,0,18.2,6,5.14,3.43,3.21,0.64,1.93,1.5,11.99,0.43,1.71,0,0.21,0.43,0.64,0.64
"",switch use tl metric label updat code use tl instead mesh relev queri ensur backward compat set tl label valu true make necessari adjust queri structur,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarifi attach embi local auth organizr log embi account cooki subdomain parent domain lead retest anoth browser appear adnausum ad blocker caus issu,resolv subdomain auth issu configur cooki set includ lead dot domain name ensur set domain com allow cooki sent subdomain,1,,23,21.74,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,4.35,4.35,0,0,0,17.39,4.35,8.7,0,4.35,0,0,0,4.35,0,0,0,0,0,0,0
equihash btg current avail minigpoolhub coin api report wrong inform incorrect pool host work need miner support work pool patient mpm support pool issu sort control regard btg mph auto exchang work sinc th bittrex wallet inact mean time add excludeminernam ewbf batch file stop useless mine bitcoin gold els use ewbf stop btg coin restrict instead algorithm restrict mean time add excludeminernam ewbf batch file ewbf mine old equihash equihash miner algo still use zcash currenc equihash btg new algorithm aka equihash use mine bitcoin gold say sinc new old algorithm miner combin need exclud stop mine old fork right correct mine ethash btg need new miner work miner equihash btg new equihash variant avail multipoolmin still featur equihash btg make happen least,add variant algorithm equihash btg switch equihash ethash equihash btg search exist faq document manual copi algorithm set paramet accordingli make necessari adjust queri structur test modifi code correct function,1,25.77,124,31.45,4.03,4.03,0,0,0,0,0,0,2.42,0,11.29,6.45,3.23,1.61,1.61,0,0,0.81,1.61,0,0,0,0,11.29,2.42,4.03,2.42,0.81,0.81,0.81,0,16.94,0,0,0,0,0,0,0
see seem grpc dotnet var new httpclienthandl dangerousacceptanyservercertificatevalid var new channel new grpcchannelopt httpclient connect x certif mutual authent client pass pfx server log loglevel default warn microsoft host lifetim inform allowedhost kestrel endpointdefault protocol http endpoint http url certif path c test pfx password password,resolv issu sslcredenti use system net http handler bypass certif valid use trust certif load self sign certif client certif store configur client ignor valid error,1,4.13,46,19.57,0,0,0,0,0,0,0,0,0,0,8.7,6.52,2.17,0,2.17,0,0,0,2.17,0,0,0,0,6.52,4.35,2.17,0,2.17,0,0,0,8.7,0,0,0,0,0,0,0
check secret namespac gener jenkin issu automat mark stale recent activ close activ occur updat caus issu pull request longer consid stale thank contribut issu automat close due inact,resolv login issu updat adminus adminpassword valu yaml ensur valu correctli format appli verifi chang check jenkin log secret confirm new credenti use,1,1,29,31.03,0,0,0,0,0,0,0,0,0,0,6.9,10.34,10.34,3.45,6.9,0,0,0,6.9,0,0,0,0,6.9,3.45,3.45,0,0,0,0,0,3.45,0,0,0,0,0,0,0
issu code true sinc use will ignor messag previous probabl check content messag thank pleas check commit exampl better write previou check overli complex sure pass nil record valid ok thank,resolv issu fail call valid method use custom error handler middlewar catch failur return custom error messag ensur compat latest devi version,1,99,31,45.16,0,0,0,0,0,0,0,0,3.23,0,19.35,9.68,19.35,19.35,0,0,0,0,0,0,0,0,0,19.35,3.23,3.23,0,3.23,9.68,0,3.23,19.35,3.23,3.23,0,0,3.23,0,0
confirm make leak report disappear thank thank advic reflect opinion,fix memori leak argument enum string ensur proper memori manag free alloc memori use avoid unnecessari alloc help prevent memori leak improv applic perform,1,99,10,60,0,0,0,0,0,0,0,0,0,0,40,0,20,20,0,0,0,0,0,0,0,0,0,30,10,10,0,10,0,0,0,40,0,0,0,0,0,0,0
protect built librari give low level pretti much unfett access http protocol includ unprocess request path,secur http path travers ensur proper input valid sanit user input prevent directori travers attack implement check restrict access allow path avoid perform concern optim valid logic,1,1,16,18.75,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,6.25,0,0,6.25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0
"",fix readm link ensur branch url correct updat link readm md file accordingli ensur link point correct branch,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run test lgtm forget cherri pick tidb test releas prs merg togeth merg auto merg job accept wait run test,fix privileg check grant role ensur correct privileg role admin super check instead grantpriv add unit test verifi chang cherri pick fix releas branch updat releas note reflect chang,1,96.76,20,30,0,0,0,0,0,0,0,0,0,0,30,0,5,5,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,0,0,25,0,0,0,0,0,0,0
fals alarm test local updat host file android emul sure file updat fact app load url internet w valid certif,ensur add ca certif android emul valid ssl certif correctli instal test api issu persist debug detail ssl tl log consult android develop document,1,25.77,20,20,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,5,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,5,0,5,0,0,0
cds report build cds doc stage new job cds report ut engin stage engin test db,ensur fix broken link action document descript relat issu verifi correct url updat document link ensur user access necessari inform,1,,16,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sign cla jjaffeux thank pull request readi review,ensur secur tab correctli integr dashboard verifi new staff login report includ properli link test function secur tab report confirm work expect,1,99,8,37.5,0,0,0,0,0,0,0,0,0,0,25,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0
cc cc merg look ok author test applianc concis specif permiss ad right label thought non logrot tag mayb permiss make littl nervou excit got much done littl chang hi follow logrot selinux man page set context logrot exec execut allow run within logrot domain case need logrot free space check sh execut logrot defer tri run logrot context need exec lesser context provid enough execut script logrot nail thank,chang secur context script match logrot avoid audit failur ensur script readabl logrot updat secur context resolv read permiss issu,1,93.21,70,27.14,0,0,0,0,0,0,0,1.43,0,0,15.71,1.43,4.29,4.29,0,0,0,0,5.71,0,0,0,1.43,7.14,1.43,2.86,2.86,0,0,0,2.86,11.43,0,4.29,0,2.86,1.43,0,0
post full output fail command cryptsetup log python traceback end miss kernel support host system entir fault,_,1,1,17,29.41,0,0,0,0,0,0,0,0,0,0,11.76,5.88,23.53,5.88,17.65,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0,0
geir said attach file contain patch basicprocessingfilt class patch test work provid acegi secur rememb request paramet uri use contact system autom test sorri see two immedi problem requir request paramet awkward use b b set two class loginsuccess fail method patch accept function patch possibl ad class well digestprocessingfilt ben said sure fulli understand tri think merg basic rememb probabl need exampl basic authent mechan deliv authent credenti client server separ authenticationprovid process present credenti real issu want client ever password intend approach authent client look comment refer guid regard use cas authent web servic basic authent idea ben said cannot see justif chang per earlier comment feel free log new issu detail feel issu still need address geir said sorri late answer messag jira got lost gener spring mailinglist yes know cas sadli option even abl ldap server system therefor releg roll solut cannot stop frontend see password forward acegi authent yes authenticationprovid right thing credenti want frontend becom plaintext storag area password need browser someth rememb cooki allow user log everi last page sinc control web tier design choic need ad gadget provid back end servic web tier order need patch acegi patch submit disentangl present part rememb nut bolt need exist codebas look potenti clean design perfectli will entertain idea handl geir said even gener view problem back end expos soap front end web session notion sever front end node know next request session come soap notion web session need chain request user togeth otherwis need log everi request option php frontend cach password option either therefor use rememb cooki token notion user session back end total stateless session inform whatsoev everi last request full unit work ben said basic sound notion session import avoid client cleartext password especi given obvious cleartext password point order authent basic authent even digest unsuit case given desir avoid httpsession requir digest guess user oper basic authent mechan still free user unnecessari login word good reason offer basic rememb featur form rememb form authent user appli patch svn test pass default impact basic authent take action remembermeservic inject basicauthenticationprocessingfilt,ensur remembermeservic compat basicauth login modifi basicprocessingfilt trigger loginfail loginsuccess remembermeservic allow cooki use authent without password storag,1,35.8,349,34.1,0,0,0,0,0,0,0,0,3.72,0.57,12.89,4.87,4.58,2.58,2.01,0.86,0,0.57,5.16,0,0.29,0,0,14.04,4.01,3.15,3.72,1.72,1.15,0.86,3.15,10.32,0.29,1.43,0,0.57,0.57,0.29,0
issu move saltstack salt bootstrap via,ensur use latest version bootstrap salt sh verifi compat kali linux 2 label eol consid use support version kali linux modifi script bypass eol check,1,,6,33.33,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0
need password spend bitcoin spend bitcoin without password possibl chang password checkout password mayb find typo think password noth help good luck though close,unfortun possibl chang password without know current one may need recov access recoveri phrase contact wallet support assist,1,99,24,45.83,0,0,0,0,0,0,0,4.17,4.17,4.17,20.83,0,8.33,8.33,0,0,0,0,4.17,0,0,0,0,29.17,8.33,0,4.17,8.33,0,8.33,0,20.83,0,0,0,0,0,0,0
report merg decreas coverag diff coverag impact file tree impact coverag arrow arrow arrow arrow arrow arrow continu review full report legend click learn power last updat read comment,_,1,,29,13.79,0,0,0,0,0,0,0,0,0,0,6.9,3.45,0,0,0,0,0,0,3.45,0,0,0,0,3.45,3.45,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0
bad idea unrel quick tip link broken use add link button github comment editor past url titl part left url part blank anyway past link without anyth special expect thank spot doubl check thank contribut one small comment merg,ensur valid cooki name initi avoid invalid rune use mock http cooki perform valid http packag export check function prevent empti string due invalid cooki name,1,97.19,39,51.28,0,0,0,0,0,0,0,2.56,2.56,2.56,10.26,7.69,10.26,7.69,2.56,0,0,0,5.13,0,0,0,0,17.95,10.26,2.56,2.56,0,0,2.56,7.69,10.26,2.56,2.56,0,0,0,0,2.56
"",ensur remov bft header valid valid detach modifi valid logic review checklist confirm pr resolv bft complianc issu new code cover unit test add relev integr function test ensur commit messag follow guidelin updat document accordingli,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
support javacv bind reproduc problem opencv java bind c code feel free reopen issu correspond exampl,ensur proper dealloc object use comput method check addit resourc need releas use memori profil tool identifi fix memori leak help stabil memori usag,1,99,16,25,0,0,0,0,0,0,0,0,0,0,12.5,6.25,18.75,12.5,6.25,0,0,0,0,0,0,0,0,12.5,6.25,0,6.25,0,0,0,0,12.5,0,0,0,0,0,0,0
sign cla leomca thank pull request readi review look good,ensur unauthent email activ omniauth authent verifi email confirm statu activ prevent unauthor access,1,99,10,50,0,0,0,0,0,0,0,0,0,0,30,0,20,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"",_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thank feedback rout appropri team follow cc thank feedback rout appropri team follow cc clarifi sampl code except thrown recommend move away fluent api sinc activ develop fact recommend move new azur secur keyvault packag support much simpler authent model includ azur ident packag pass optim cloud host scenario easi develop use browser interact token servic princip clarifi sampl code except thrown recommend move away fluent api sinc activ develop key vault auth part access properti properti azureobj access virtual machin web app etc etc resourc get error case switch anoth nugget packag try think deprec develop commun new nuget older microsoft azur packag deprec azur packag exist longer activ develop fluent packag updat quit authent much easier azur packag pleas let us know whether upgrad work hi send friendli remind heard back need inform issu help address pleas sure give us input within next day hear back within day comment issu automat close thank,ensur author paramet valid uri format verifi uri string use authenticationcontext correct properli format resolv except allow success authent,1,94.59,155,40.65,1.29,0,1.29,0,0,0,0,3.87,1.29,0,16.13,5.16,4.52,4.52,0,0,0,0,12.26,0,0,0,0,8.39,3.23,0.65,0.65,0.65,1.29,1.94,1.94,13.55,0,1.94,0,1.94,0,0,0
look issu releas version pleas see terraform document provid reach need assist upgrad exampl go lock issu close day help maintain find focu activ issu feel issu reopen encourag creat new issu link back one ad context feel made error pleas reach human friend hashibot feedbackthank,ensur password field empti specifi data ssl certif block updat terraform configur includ valid password resolv error allow deploy,1,66.89,46,34.78,0,0,0,0,0,0,0,0,2.17,0,17.39,2.17,2.17,2.17,0,0,0,0,8.7,0,2.17,0,0,15.22,8.7,2.17,2.17,0,0,2.17,2.17,15.22,0,0,0,0,0,0,0
need updat websit sourc doc job specif sidecar task html md well thank yes push ad comment code hope forget sha make doc pretti ugli work think correct import beauti case,upgrad envoy 1 11 2 append docker imag sha ensur consist version usag test manual confirm function differ cherri pick releas 0100 post merg,1,99,31,38.71,0,0,0,0,0,0,0,0,3.23,0,22.58,0,9.68,9.68,0,0,0,0,3.23,0,0,0,0,16.13,3.23,3.23,6.45,3.23,3.23,0,0,22.58,3.23,6.45,0,0,3.23,3.23,0
creat issu desktop area,ensur keyr credenti storag properli configur linux mint fedora verifi permiss set depend nextcloud client retain password across reboot,1,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",add sampl demonstr perform authent without use oauthprompt sampl address popular demand provid clear solut featur request,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
part start clean entropi driver think close part entropi chang,ensur crypto base sampl use strong random number gener entropi updat exampl build platform proper entropi sourc investig entropi avail qemu x86,1,,10,30,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"",_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thank curiou last chang gitignor test driver come unsur seem appear ran make test verifi chang mon apr daniel stenberg wrote thank curiou last chang gitignor test driver come repli email directli view github thank land df b af f test driver thing seem automak gener script,clarifi error messag pkc 12 certif privat key load failur distinguish differ issu ensur chang pas test,1,99,47,34.04,0,0,0,0,0,0,0,0,0,0,23.4,0,6.38,6.38,0,0,0,0,2.13,0,0,0,0,12.77,8.51,2.13,0,6.38,0,0,4.26,19.15,0,4.26,2.13,4.26,0,0,0
certainli look alreadi patch thing move bit faster try report bug found mind analysi propos patch possibl best,fix use free vulner sfdgetbitmapchar ensur proper memori manag valid handl memori refer correctli prevent invalid write crash,1,99,18,50,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,27.78,11.11,0,0,11.11,5.56,0,5.56,16.67,0,0,0,0,0,0,0
comment slightli differ one warn data race write goroutin os file close go src pkg os file unix go x os file close go src pkg os file unix go x code googl com p go crypto ssh test client close gopath src code googl com p go crypto ssh test doc go x code googl com p go crypto ssh test testfunclargeread gopath src code googl com p go crypto ssh test session test go x test trunner go src pkg test test go x f gosch go src pkg runtim proc c x f previou read goroutin os file write go src pkg os file unix go x os file write go src pkg os file go xb code googl com p go crypto ssh test client write gopath src code googl com p go crypto ssh test doc go x bufio writer flush go src pkg bufio bufio go x code googl com p go crypto ssh writer writepacket gopath src code googl com p go crypto ssh transport go xa code googl com p go crypto ssh channel sendclos gopath src code googl com p go crypto ssh channel go xd code googl com p go crypto ssh clientchan close gopath src code googl com p go crypto ssh channel go x code googl com p go crypto ssh clientconn mainloop gopath src code googl com p go crypto ssh client go x ff gosch go src pkg runtim proc c x f goroutin run creat test runtest go src pkg test test go xaef test main go src pkg test test go xab main main code googl com p go crypto ssh test test testmain go xda runtim main go src pkg runtim proc c x goroutin run creat code googl com p go crypto ssh client gopath src code googl com p go crypto ssh client go x bd code googl com p go crypto ssh test server dial gopath src code googl com p go crypto ssh test test unix test go x f code googl com p go crypto ssh test testfunclargeread gopath src code googl com p go crypto ssh test session test go x test trunner go src pkg test test go x f gosch go src pkg runtim proc c x f comment issu merg comment look bit problem test transport expect proper net conn mock one bit less idea unix socket still bug need chase love approach comment issu merg issu comment littl background look ssh packag reli part net conn contract specifi interfac name anyth implement net conn support concurr read write close action replac real socket net conn mock implement contract present data race comment attempt readi submiss yet statu chang start comment issu close revis golang cryptochang fix,_,1,19.33,463,19.01,0,0,0,0,0,0,0,0,0.43,0,15.12,0.22,1.3,0.43,0.86,0,0.43,0,2.38,0,0,0,0,1.08,0.22,0,0.65,0,0,0.22,0,14.9,0.22,0,0,0,0,0,0
"",_,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
let close complic newcom thank,_,1,99,5,40,0,0,0,0,0,0,0,0,0,0,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
thank pull request look first contribut googl open sourc project look pull request need sign contributor licens agreement cla memo pleas visit sign sign pleas repli e g verifi thank alreadi sign cla possibl github usernam use differ email address check exist cla verifi email git sign cla corpor pleas let us know compani name sign cla look good thank current merg decreas coverag power last updat happi explor propos sound reason abandon let discuss later,ensur proper synchron activ deactiv compil repositori handl cancel polici correctli prevent race condit stabil repositori oper,1,97.58,76,40.79,1.32,0,1.32,0,0,0,0,0,0,0,19.74,1.32,7.89,6.58,1.32,0,0,1.32,10.53,0,0,0,0,9.21,3.95,2.63,1.32,1.32,0,1.32,0,14.47,0,0,0,0,0,0,0
see alreadi secret mount build pod contain docker requir talk docker registri alreadi tri approach alway get error docker credenti ecr login found path follow config json anyth wrong refer binari name path builder base agent look need mount secret docker credenti ecr login docker credenti ecr login secret btw binari file docker automat abl authent ecr without configur ecr secret direct wrong creat pull request support ecr login helper builder base pleas try merg find good mani thank take look merg releas insid hour updat issu thank lot look jx platform jenkin x imag build need trigger manual build releas platform version fix,ensur docker credenti ecr login binari instal path verifi instal step environ configur,1,78.6,104,31.73,0,0,0,0,0,0,0,0.96,0,0.96,15.38,5.77,6.73,4.81,1.92,0,0,0,7.69,0,0,0,0,13.46,6.73,0.96,1.92,1.92,0,1.92,0.96,14.42,0,0.96,0,0.96,0,0,0
lgtm block,_,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hi thank troubleshoot report done chang pr look good mani thank,replac usernam dbusernam specifi line ensur role permiss correctli travers ad,1,99,11,63.64,0,0,0,0,0,0,0,0,0,0,36.36,0,36.36,27.27,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,9.09,27.27,0,0,0,0,0,0,0
open popup notic firewal pane still automat expand design click request block domain connect label close pane ok close pr,_,1,96.76,20,20,0,0,0,0,0,0,0,0,5,0,5,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,5,0,0
use singl regex normal pull regex top level case browser optim object,ensur proper insert checksum hash attribut selfclos root tag valid test chang confirm fix,1,,12,33.33,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,8.33,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0
"",ensur pem file exist specifi directori use absolut path instead rel path avoid directori issu verifi file permiss path correct,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgtm,replac unsaf string constructor string substr remov unnecessari unsaf modifi improv code safeti,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polici hook built authent method distinct login event everi api request provid credenti filter chain deriv authent user info credenti handler chain close close issu respons polici hook built authent method distinct login event everi api request provid credenti filter chain deriv authent user info credenti handler chain close instruct interact use pr comment avail question suggest relat behavior pleas file issu repositori thank help realiz mean realli sort callback mutat request creat updat patch delet intercept mutat valid webhook enforc extern polici see detail though cover mutat request list watch request,captur login event forward opa opa check token usag deni use forward allow request auth server ident provid,1,45.75,92,22.83,0,0,0,0,0,0,0,0,1.09,0,4.35,1.09,1.09,1.09,0,0,0,0,10.87,0,0,0,0,9.78,4.35,1.09,0,2.17,2.17,3.26,0,5.43,0,0,0,0,0,0,0
duplic,creat job check repositori signatur packag flat contain packag contain follow step defin contain want check write script list packag contain verifi signatur packag packag found tamper gener alert schedul script run regularli use job schedul ensur script run appropri permiss handl log alert effect,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
